epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,2210.55,0.84166,0.44495,0.90418,0.88855,0.88257,0.93037,0.6561,0.85182,0.43959,0.94556,0.00055188,0.00055188,0.00055188
64,2244.05,0.84189,0.44527,0.90435,0.86771,0.88782,0.92601,0.64748,0.86288,0.44163,0.94358,0.000537733,0.000537733,0.000537733
65,2274.15,0.82356,0.43336,0.90887,0.89415,0.89745,0.9338,0.66781,0.81894,0.43518,0.94266,0.000523586,0.000523586,0.000523586
66,2307.95,0.82341,0.43249,0.90862,0.88733,0.88203,0.92794,0.65707,0.82476,0.43676,0.94733,0.000509438,0.000509438,0.000509438
67,2341.82,0.81417,0.42558,0.90668,0.89335,0.87164,0.9314,0.66064,0.826,0.43456,0.94032,0.000495291,0.000495291,0.000495291
68,2372.09,0.83424,0.4389,0.91813,0.88581,0.88685,0.93681,0.6543,0.82324,0.43967,0.93579,0.000481144,0.000481144,0.000481144
69,2405.51,0.81334,0.4298,0.91457,0.87484,0.90171,0.93462,0.6506,0.81299,0.42528,0.92723,0.000466997,0.000466997,0.000466997
70,2438.48,0.82388,0.43211,0.91251,0.87646,0.91101,0.93623,0.67685,0.79326,0.42156,0.92791,0.00045285,0.00045285,0.00045285
71,2468.69,0.81225,0.41745,0.90218,0.89874,0.86591,0.92956,0.67194,0.81042,0.42286,0.92986,0.000438703,0.000438703,0.000438703
72,2501.75,0.85799,0.42954,0.93133,0.89946,0.88966,0.93741,0.67129,0.80674,0.42306,0.93616,0.000424556,0.000424556,0.000424556
73,2533.32,0.80056,0.42349,0.88816,0.8895,0.90226,0.93593,0.66736,0.80755,0.42884,0.93558,0.000410409,0.000410409,0.000410409
74,2564.83,0.83619,0.43261,0.91717,0.89926,0.8845,0.93697,0.66146,0.81833,0.42641,0.9285,0.000396262,0.000396262,0.000396262
75,2598.33,0.78231,0.40945,0.8809,0.87928,0.89042,0.93651,0.68172,0.80687,0.43186,0.93232,0.000382115,0.000382115,0.000382115
76,2629.98,0.78876,0.41703,0.88889,0.91278,0.87344,0.93601,0.66601,0.81393,0.42395,0.92698,0.000367967,0.000367967,0.000367967
77,2661.82,0.76189,0.40153,0.88015,0.90937,0.86849,0.93436,0.65419,0.81313,0.42352,0.93232,0.00035382,0.00035382,0.00035382
78,2694.45,0.79674,0.41399,0.89742,0.8804,0.89765,0.93881,0.67459,0.81378,0.41683,0.93784,0.000339673,0.000339673,0.000339673
79,2725.12,0.77744,0.40806,0.89311,0.88339,0.88548,0.93731,0.68173,0.79419,0.41077,0.93197,0.000325526,0.000325526,0.000325526
80,2757.17,0.79561,0.41908,0.90247,0.88069,0.89098,0.94085,0.68368,0.79925,0.41286,0.93232,0.000311379,0.000311379,0.000311379
81,2790.33,0.74556,0.3951,0.87138,0.90571,0.88146,0.93999,0.68878,0.78424,0.4179,0.93047,0.000297232,0.000297232,0.000297232
82,2820.66,0.75338,0.39706,0.87567,0.8927,0.8807,0.93752,0.68203,0.79515,0.41987,0.93155,0.000283085,0.000283085,0.000283085
83,2853.19,0.76091,0.39745,0.8931,0.89108,0.88685,0.93737,0.69433,0.78506,0.40756,0.92655,0.000268938,0.000268938,0.000268938
84,2886.54,0.75169,0.39764,0.88618,0.89177,0.90458,0.93967,0.67449,0.78049,0.40869,0.92052,0.000254791,0.000254791,0.000254791
85,2916.44,0.77512,0.40866,0.88817,0.87236,0.90255,0.94211,0.6894,0.77202,0.40652,0.92314,0.000240644,0.000240644,0.000240644
86,2948.8,0.73957,0.3852,0.87921,0.88611,0.9037,0.94157,0.69748,0.77452,0.40259,0.92175,0.000226497,0.000226497,0.000226497
87,2981.97,0.76443,0.3968,0.89132,0.88904,0.89211,0.93617,0.68208,0.77724,0.40752,0.92869,0.000212349,0.000212349,0.000212349
88,3012.32,0.71061,0.38001,0.8616,0.89275,0.89305,0.93757,0.69208,0.76212,0.40381,0.92482,0.000198202,0.000198202,0.000198202
89,3045.03,0.76962,0.40398,0.90728,0.90381,0.89496,0.9456,0.69916,0.76151,0.39754,0.91842,0.000184055,0.000184055,0.000184055
90,3077.42,0.75674,0.39763,0.8932,0.89646,0.8982,0.9402,0.68957,0.77896,0.40603,0.92213,0.000169908,0.000169908,0.000169908
91,3110.58,0.69108,0.36057,0.89268,0.91291,0.9017,0.94685,0.69836,0.7654,0.39944,0.92155,0.000155761,0.000155761,0.000155761
92,3142.52,0.6681,0.35709,0.87501,0.89639,0.89498,0.94286,0.69219,0.76222,0.39642,0.92067,0.000141614,0.000141614,0.000141614
93,3174.64,0.66946,0.35512,0.89899,0.89747,0.89182,0.94285,0.68827,0.76902,0.39979,0.92036,0.000127467,0.000127467,0.000127467
94,3204.49,0.66555,0.34785,0.87344,0.88239,0.91115,0.94197,0.68996,0.7633,0.39765,0.92223,0.00011332,0.00011332,0.00011332
95,3236.67,0.66545,0.3439,0.89423,0.89466,0.9002,0.9447,0.69016,0.77558,0.39955,0.92747,9.91726e-05,9.91726e-05,9.91726e-05
96,3266.81,0.67203,0.348,0.88887,0.8937,0.90017,0.94392,0.69456,0.77107,0.39511,0.92721,8.50255e-05,8.50255e-05,8.50255e-05
97,3297.42,0.67485,0.34433,0.88045,0.90054,0.89745,0.94458,0.69644,0.76782,0.39563,0.92241,7.08784e-05,7.08784e-05,7.08784e-05
98,3330.39,0.65221,0.34918,0.87532,0.90562,0.90925,0.94977,0.69917,0.75695,0.39249,0.9179,5.67313e-05,5.67313e-05,5.67313e-05
99,3359.94,0.66694,0.3403,0.87582,0.90646,0.91255,0.95079,0.6995,0.75437,0.39198,0.92087,4.25842e-05,4.25842e-05,4.25842e-05
100,3392.39,0.66198,0.34853,0.87074,0.90489,0.90556,0.95031,0.70099,0.75058,0.39164,0.91953,2.84371e-05,2.84371e-05,2.84371e-05
